Assembly	nanopolish_assembly
# contigs (>= 0 bp)	83399
# contigs (>= 1000 bp)	83194
# contigs (>= 5000 bp)	788
# contigs (>= 10000 bp)	36
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	205849556
Total length (>= 1000 bp)	205710849
Total length (>= 5000 bp)	5124995
Total length (>= 10000 bp)	396101
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	83391
Largest contig	13723
Total length	205845967
GC (%)	42.74
N50	2381
N90	2242
auN	2585.7
L50	37973
L90	73697
# N's per 100 kbp	0.00
