#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965028.1_RagTag:335459-336641 -            329 19129at314147        -            340   5.2e-18   61.6   4.5   1   3   5.4e-18   2.4e-16   56.1   0.0     5   131    17   146    14   174 0.86 -
NW_025965028.1_RagTag:335459-336641 -            329 19129at314147        -            340   5.2e-18   61.6   4.5   2   3      0.16       6.9    2.0   0.1   287   312   263   288   250   292 0.75 -
NW_025965028.1_RagTag:335459-336641 -            329 19129at314147        -            340   5.2e-18   61.6   4.5   3   3     0.035       1.5    4.2   0.4   287   314   291   318   287   326 0.87 -
NW_025965281.1_RagTag:499506-497614 -            631 19129at314147        -            340   1.7e-12   43.5   0.1   1   3   3.8e-14   1.7e-12   43.5   0.1     6    83    17    96    13   122 0.86 -
NW_025965281.1_RagTag:499506-497614 -            631 19129at314147        -            340   1.7e-12   43.5   0.1   2   3       1.2        54   -0.9   0.5   290   323   343   376   340   383 0.74 -
NW_025965281.1_RagTag:499506-497614 -            631 19129at314147        -            340   1.7e-12   43.5   0.1   3   3      0.49        22    0.4   0.7   193   228   470   505   460   520 0.76 -
NW_025965359.1_RagTag:192785-193660 -            292 19129at314147        -            340   1.7e-09   33.6   0.0   1   1     7e-11   3.1e-09   32.7   0.0    23    87   122   188   108   199 0.89 -
NW_025965289.1_RagTag:78350-79000   -            217 19129at314147        -            340   2.7e-08   29.7  22.9   1   6     0.004      0.18    7.2   0.0   287   313    20    46    13    48 0.82 -
NW_025965289.1_RagTag:78350-79000   -            217 19129at314147        -            340   2.7e-08   29.7  22.9   2   6    0.0052      0.23    6.9   0.2   287   313    48    74    46    78 0.90 -
NW_025965289.1_RagTag:78350-79000   -            217 19129at314147        -            340   2.7e-08   29.7  22.9   3   6     0.057       2.5    3.4   0.2   212   233    79   101    75   107 0.78 -
NW_025965289.1_RagTag:78350-79000   -            217 19129at314147        -            340   2.7e-08   29.7  22.9   4   6    0.0031      0.14    7.6   3.4   209   242   104   137    93   142 0.79 -
NW_025965289.1_RagTag:78350-79000   -            217 19129at314147        -            340   2.7e-08   29.7  22.9   5   6     0.023         1    4.8   0.1   287   313   160   186   154   189 0.79 -
NW_025965289.1_RagTag:78350-79000   -            217 19129at314147        -            340   2.7e-08   29.7  22.9   6   6   0.00015    0.0065   12.0   0.2   290   313   191   214   185   216 0.84 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   1   7   0.00087     0.038    9.4   1.3   278   313     7    42     3    47 0.87 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   2   7     0.018      0.78    5.1   0.1   290   313    47    70    42    85 0.89 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   3   7      0.98        43   -0.6   0.0   291   312    76    98    71   104 0.76 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   4   7    0.0011     0.047    9.1   0.3   288   313   102   127    91   130 0.86 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   5   7    0.0005     0.022   10.2   0.0   287   313   129   155   126   160 0.88 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   6   7    0.0079      0.35    6.3   0.4   288   313   158   183   154   201 0.85 -
NW_025965301.1_RagTag:101661-100954 -            236 19129at314147        -            340   1.1e-07   27.6  25.6   7   7     0.051       2.2    3.6   0.1   287   311   212   236   203   236 0.86 -
NW_025965250.1_RagTag:140650-46794  -            212 19129at314147        -            340   1.2e-07   27.6  23.3   1   7     0.021      0.92    4.9   0.1   287   315    16    44     7    47 0.84 -
NW_025965250.1_RagTag:140650-46794  -            212 19129at314147        -            340   1.2e-07   27.6  23.3   2   7    0.0017     0.076    8.4   0.1   290   313    47    70    43    74 0.90 -
NW_025965250.1_RagTag:140650-46794  -            212 19129at314147        -            340   1.2e-07   27.6  23.3   3   7   0.00026     0.011   11.2   0.1   290   314    75    99    70   102 0.90 -
NW_025965250.1_RagTag:140650-46794  -            212 19129at314147        -            340   1.2e-07   27.6  23.3   4   7      0.24        11    1.4   0.0   290   313   103   126    99   130 0.69 -
NW_025965250.1_RagTag:140650-46794  -            212 19129at314147        -            340   1.2e-07   27.6  23.3   5   7    0.0041      0.18    7.2   1.3   288   313   129   154   124   163 0.85 -
