#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965008.1_RagTag:49497-49051   -            149 16741at314147        -            409   3.9e-09   32.3   0.3   1   2      0.25        60   -1.2   0.1    67    97    21    51    12    60 0.68 -
NW_025965008.1_RagTag:49497-49051   -            149 16741at314147        -            409   3.9e-09   32.3   0.3   2   2   3.2e-11   7.5e-09   31.4   0.1   295   379    59   140    34   148 0.81 -
NW_025965291.1_RagTag:434657-434169 -            163 16741at314147        -            409   9.5e-06   21.2   3.1   1   2      0.24        56   -1.1   0.1   347   364    41    58     8    66 0.62 -
NW_025965291.1_RagTag:434657-434169 -            163 16741at314147        -            409   9.5e-06   21.2   3.1   2   2   7.4e-08   1.7e-05   20.3   2.6   288   374    68   152    42   159 0.80 -
contig_57778_pilon:1142-648         -            165 16741at314147        -            409   5.1e-05   18.8   1.7   1   2      0.33        77   -1.6   0.1   346   363    42    59     8    66 0.60 -
contig_57778_pilon:1142-648         -            165 16741at314147        -            409   5.1e-05   18.8   1.7   2   2   2.5e-07     6e-05   18.6   0.3   295   374    76   154    64   161 0.81 -
contig_2414_pilon:35-510            -            149 16741at314147        -            409   5.9e-05   18.6   3.7   1   1   4.8e-07   0.00011   17.6   3.7   294   374    58   136    13   144 0.74 -
NW_025965240.1_RagTag:118871-118551 -            107 16741at314147        -            409   0.00046   15.6   0.0   1   1   2.4e-06   0.00057   15.3   0.0    17    50    42    73    33    78 0.78 -
NW_025965209.1_RagTag:273034-273354 -            107 16741at314147        -            409     0.027    9.8   1.9   1   2      0.19        45   -0.8   0.1   251   290    16    55     7    68 0.49 -
NW_025965209.1_RagTag:273034-273354 -            107 16741at314147        -            409     0.027    9.8   1.9   2   2   0.00012     0.027    9.8   0.3    13    50    72   107    66   107 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/16741at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/rerun_results/16741at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/16741at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:29:18 2023
# [ok]
