#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965499.1_RagTag:3791-2706     -            362 14455at314147        -            470   5.2e-09   31.6   0.0   1   1   8.2e-11   7.6e-09   31.0   0.0   197   406    16   206     7   213 0.78 -
NW_025965099.1_RagTag:14363-15274   -            304 14455at314147        -            470     3e-08   29.1   0.1   1   1   4.7e-10   4.4e-08   28.5   0.1   198   405    27   215    21   223 0.76 -
NW_025965233.1_RagTag:114859-113462 -            466 14455at314147        -            470   4.3e-08   28.5   0.0   1   1   8.3e-10   7.7e-08   27.7   0.0   321   404   120   193     2   208 0.67 -
NW_025965352.1_RagTag:102445-103867 -            274 14455at314147        -            470   9.6e-08   27.4   0.0   1   1   1.6e-09   1.5e-07   26.7   0.0   214   411    57   257    49   266 0.76 -
NW_025965279.1_RagTag:78582-79082   -            167 14455at314147        -            470   1.2e-07   27.0   0.0   1   1   1.8e-09   1.6e-07   26.6   0.0   322   409    23    99     7   110 0.82 -
contig_66008_pilon:1779-2636        -            286 14455at314147        -            470   1.7e-06   23.2   0.0   1   1   2.4e-08   2.2e-06   22.9   0.0   224   411    13   178     8   219 0.74 -
contig_34309_pilon:592-2            -            197 14455at314147        -            470   2.3e-06   22.8   0.0   1   1     5e-08   4.6e-06   21.8   0.0   197   381     7   177     3   197 0.72 -
contig_31429_pilon:272-1088         -            267 14455at314147        -            470   4.7e-06   21.8   0.0   1   2    0.0054       0.5    5.2   0.0   202   243     1    44     1    64 0.74 -
contig_31429_pilon:272-1088         -            267 14455at314147        -            470   4.7e-06   21.8   0.0   2   2   7.5e-06    0.0007   14.6   0.0   322   358   100   136    83   179 0.74 -
NW_025965313.1_RagTag:82152-83619   -            201 14455at314147        -            470   1.7e-05   20.0   0.0   1   2    0.0083      0.77    4.6   0.0   192   239    21    68    10    86 0.73 -
NW_025965313.1_RagTag:82152-83619   -            201 14455at314147        -            470   1.7e-05   20.0   0.0   2   2   1.9e-05    0.0018   13.3   0.0   322   406    86   182    60   188 0.59 -
contig_37224_pilon:1693-2424        -            244 14455at314147        -            470   2.2e-05   19.6   0.2   1   2   3.6e-07   3.3e-05   19.0   0.0   294   355    83   147     2   168 0.69 -
contig_37224_pilon:1693-2424        -            244 14455at314147        -            470   2.2e-05   19.6   0.2   2   2         3   2.8e+02   -3.8   0.0   136   168   184   216   179   218 0.70 -
NW_025965548.1_RagTag:8433-2018     -            436 14455at314147        -            470   0.00061   14.8   0.1   1   2     2e-05    0.0018   13.3   0.0   248   351   262   369   250   388 0.72 -
NW_025965548.1_RagTag:8433-2018     -            436 14455at314147        -            470   0.00061   14.8   0.1   2   2      0.46        43   -1.1   0.0   394   407   388   401   374   411 0.78 -
contig_34501_pilon:2271-1573        -            233 14455at314147        -            470   0.00072   14.6   0.0   1   1   9.1e-06   0.00085   14.4   0.0   323   406    45   118    34   175 0.78 -
NW_025965222.1_RagTag:185086-183102 -            116 14455at314147        -            470    0.0012   13.9   0.0   1   1   1.5e-05    0.0014   13.7   0.0   393   463    17    95     5   102 0.73 -
NW_025965066.1_RagTag:84022-85665   -            205 14455at314147        -            470    0.0024   12.9   0.5   1   2      0.14        13    0.5   0.0   198   221    17    40    14    65 0.83 -
NW_025965066.1_RagTag:84022-85665   -            205 14455at314147        -            470    0.0024   12.9   0.5   2   2   0.00048     0.044    8.7   0.1   369   407   141   173    63   182 0.66 -
NW_025965287.1_RagTag:72767-73151   -             93 14455at314147        -            470     0.014   10.4   0.0   1   1   0.00016     0.015   10.2   0.0   393   461    21    91     7    93 0.68 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/14455at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/rerun_results/14455at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/14455at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:29:59 2023
# [ok]
