#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965259.1_RagTag:106045-105034   -            229 18125at314147        -            505   1.4e-25   86.0   4.2   1   2   6.2e-19   1.1e-16   56.7   0.8   143   253    11   126     4   139 0.85 -
NW_025965259.1_RagTag:106045-105034   -            229 18125at314147        -            505   1.4e-25   86.0   4.2   2   2   4.2e-11   7.4e-09   30.9   0.3   220   289   141   212   126   228 0.79 -
NW_025965307.1_RagTag:282109-281777   -            111 18125at314147        -            505   2.2e-12   42.5   0.7   1   1   1.3e-14   2.3e-12   42.5   0.7   403   495     2    97     1   106 0.90 -
NW_025965084.1_RagTag:79306-79488     -             61 18125at314147        -            505   7.7e-11   37.4   0.0   1   1   4.9e-13   8.6e-11   37.2   0.0   299   354     4    61     2    61 0.89 -
NW_025965149.1_RagTag:1663841-1665195 -            284 18125at314147        -            505   3.8e-10   35.1   0.0   1   1     4e-12   7.1e-10   34.2   0.0    90   199   154   262   146   267 0.81 -
NW_025965306.1_RagTag:240566-240366   -             67 18125at314147        -            505   2.1e-09   32.6   0.1   1   1   1.3e-11   2.2e-09   32.6   0.1   294   356     3    66     1    67 0.82 -
NW_025965307.1_RagTag:2299117-2298896 -             74 18125at314147        -            505   8.2e-07   24.1   0.0   1   1     5e-09   8.9e-07   24.0   0.0   294   355     1    64     1    73 0.88 -
NW_025965302.1_RagTag:580355-580522   -             56 18125at314147        -            505   7.6e-06   20.9  12.3   1   2   0.00022     0.039    8.7   1.7   226   242     2    18     1    22 0.90 -
NW_025965302.1_RagTag:580355-580522   -             56 18125at314147        -            505   7.6e-06   20.9  12.3   2   2   1.2e-06   0.00021   16.2   6.9   206   242    18    55    15    56 0.87 -
NW_025965324.1_RagTag:2609380-2608988 -            131 18125at314147        -            505   0.00012   17.0  19.4   1   3   6.4e-05     0.011   10.5   4.1   207   242    16    53    10    58 0.79 -
NW_025965324.1_RagTag:2609380-2608988 -            131 18125at314147        -            505   0.00012   17.0  19.4   2   3   1.6e-05    0.0028   12.4   3.9   207   248    57    99    53   108 0.89 -
NW_025965324.1_RagTag:2609380-2608988 -            131 18125at314147        -            505   0.00012   17.0  19.4   3   3      0.02       3.5    2.2   0.7   220   238   112   131   101   131 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/18125at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/initial_run_results/18125at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/18125at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:02:13 2023
# [ok]
