#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965320.1_RagTag:3302585-3303088 -            168 43167at314147        -            208   2.7e-16   56.1   0.4   1   2   1.2e-18   2.7e-16   56.1   0.4    75   131    14    72     7   134 0.77 -
NW_025965320.1_RagTag:3302585-3303088 -            168 43167at314147        -            208   2.7e-16   56.1   0.4   2   2      0.51   1.2e+02   -1.6   1.0   160   181   129   150    94   162 0.63 -
NW_025965209.1_RagTag:273034-273354   -            107 43167at314147        -            208   8.2e-11   38.2   2.1   1   1   5.6e-13   1.3e-10   37.5   2.0    75   128    51   104    11   107 0.82 -
NW_025965152.1_RagTag:33978-30986     -            143 43167at314147        -            208   4.6e-09   32.4   2.1   1   2   4.5e-11   1.1e-08   31.3   0.1    80   130    23    73    13    86 0.95 -
NW_025965152.1_RagTag:33978-30986     -            143 43167at314147        -            208   4.6e-09   32.4   2.1   2   2     0.094        22    0.8   0.2    17    38    98   119    90   130 0.72 -
NW_025965240.1_RagTag:118871-118551   -            107 43167at314147        -            208   5.2e-05   19.2   0.0   1   1   2.4e-07   5.7e-05   19.1   0.0    87   130    29    72     6    88 0.84 -
NW_025965049.1_RagTag:150709-150981   -             91 43167at314147        -            208   0.00013   17.9   2.9   1   1   6.3e-07   0.00015   17.7   2.9    51   112    29    85     4    87 0.70 -
NW_025965324.1_RagTag:3071272-3072113 -            184 43167at314147        -            208      0.22    7.4   7.1   1   2      0.93   2.2e+02   -2.4   0.8   165   179    37    50     9    63 0.51 -
NW_025965324.1_RagTag:3071272-3072113 -            184 43167at314147        -            208      0.22    7.4   7.1   2   2   2.7e-05    0.0063   12.4   0.8    16    97    78   158    64   169 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/43167at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/rerun_results/43167at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/43167at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:29:17 2023
# [ok]
