#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965233.1_RagTag:149862-153124  -            174 34048at314147        -            244     2e-50  167.7   0.2   1   2     1e-32   1.8e-30  102.3   0.2    21    84    11    74     1    89 0.89 -
NW_025965233.1_RagTag:149862-153124  -            174 34048at314147        -            244     2e-50  167.7   0.2   2   2   4.9e-21   8.5e-19   64.1   0.0   156   244    88   174    78   174 0.94 -
NW_025965155.1_RagTag:175000-176333  -            117 34048at314147        -            244   4.9e-25   84.5   0.0   1   1     3e-27   5.2e-25   84.4   0.0    96   196     1   100     1   114 0.90 -
NW_025965311.1_RagTag:1040035-927910 -            139 34048at314147        -            244   2.8e-23   78.8   0.0   1   1   3.8e-24   6.6e-22   74.3   0.0    83   177    39   133     3   139 0.94 -
NW_025965218.1_RagTag:845634-833156  -            159 34048at314147        -            244   4.9e-18   61.6   0.0   1   1   3.4e-20   5.8e-18   61.4   0.0    14   142    14   143     4   155 0.87 -
NW_025965319.1_RagTag:347398-347027  -            124 34048at314147        -            244   1.1e-08   31.0   0.0   1   1   7.2e-11   1.2e-08   30.8   0.0    24   105    23   104    14   118 0.90 -
NW_025965350.1_RagTag:40927-41280    -            118 34048at314147        -            244   3.4e-07   26.1   0.0   1   1   2.4e-09   4.2e-07   25.8   0.0    23    82    35    96    17   101 0.86 -
NW_025965045.1_RagTag:4303-3989      -            105 34048at314147        -            244   0.00031   16.4   0.1   1   1     2e-06   0.00035   16.2   0.1    77   160     1    83     1    93 0.87 -
contig_28026_pilon:1632-1748         -             39 34048at314147        -            244    0.0037   12.9   0.0   1   1   2.1e-05    0.0037   12.9   0.0    73   109     2    38     1    39 0.93 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/34048at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/rerun_results/34048at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/34048at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:29:48 2023
# [ok]
