#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_53583_pilon:2102-1623      -            160 36468at314147        -            217    0.0061   12.8   9.6   1   3    0.0019      0.55    6.4   0.7    57    97    32    72     2    78 0.49 -
contig_53583_pilon:2102-1623      -            160 36468at314147        -            217    0.0061   12.8   9.6   2   3   0.00037       0.1    8.8   1.1    57   128    32   100    28   106 0.78 -
contig_53583_pilon:2102-1623      -            160 36468at314147        -            217    0.0061   12.8   9.6   3   3    0.0011      0.31    7.2   0.8    57    97   116   156   111   159 0.85 -
contig_52188_pilon:2135-1716      -            140 36468at314147        -            217    0.0098   12.1   8.0   1   2      0.84   2.4e+02   -2.2   0.0   173   188    22    37    14    42 0.68 -
contig_52188_pilon:2135-1716      -            140 36468at314147        -            217    0.0098   12.1   8.0   2   2   8.8e-06    0.0025   14.1   3.3    58   128    44   111    38   125 0.79 -
contig_33351_pilon:8-595          -            196 36468at314147        -            217       0.2    7.8  15.0   1   3     0.041        12    2.1   0.7    87   127    19    56     8    65 0.48 -
contig_33351_pilon:8-595          -            196 36468at314147        -            217       0.2    7.8  15.0   2   3   0.00029     0.081    9.1   1.9    61   128    77   141    69   144 0.80 -
contig_33351_pilon:8-595          -            196 36468at314147        -            217       0.2    7.8  15.0   3   3    0.0019      0.54    6.5   3.7    60   128   104   169   100   196 0.54 -
contig_70752_pilon:952-1602       -            217 36468at314147        -            217      0.59    6.3  13.4   1   3    0.0056       1.6    4.9   2.8    61   128    42   106    30   113 0.69 -
contig_70752_pilon:952-1602       -            217 36468at314147        -            217      0.59    6.3  13.4   2   3   0.00067      0.19    7.9   3.0    58   128    95   162    90   165 0.77 -
contig_70752_pilon:952-1602       -            217 36468at314147        -            217      0.59    6.3  13.4   3   3     0.016       4.5    3.4   0.4    61    98   154   191   146   208 0.76 -
NW_025965207.1_RagTag:11397-10729 -            223 36468at314147        -            217       4.1    3.6  14.3   1   2     0.024       6.9    2.8   8.6    61   174    24   144    17   157 0.54 -
NW_025965207.1_RagTag:11397-10729 -            223 36468at314147        -            217       4.1    3.6  14.3   2   2     0.043        12    2.0   3.0    57    93   131   167   104   199 0.56 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/36468at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/initial_run_results/36468at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/36468at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:02:31 2023
# [ok]
