#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_36320_pilon:719-1438 -            240 43679at314147        -            100      0.03   11.5  33.9   1   6    0.0013      0.91    6.7   1.3     7    34    11    38     7    63 0.77 -
contig_36320_pilon:719-1438 -            240 43679at314147        -            100      0.03   11.5  33.9   2   6    0.0044       3.1    5.0   3.5     7    37    67    97    62   116 0.74 -
contig_36320_pilon:719-1438 -            240 43679at314147        -            100      0.03   11.5  33.9   3   6     0.015        10    3.4   0.2     7    25   123   141   117   149 0.85 -
contig_36320_pilon:719-1438 -            240 43679at314147        -            100      0.03   11.5  33.9   4   6    0.0071         5    4.3   0.5     7    26   151   170   146   178 0.84 -
contig_36320_pilon:719-1438 -            240 43679at314147        -            100      0.03   11.5  33.9   5   6     0.014       9.8    3.4   0.2     7    26   179   198   174   206 0.84 -
contig_36320_pilon:719-1438 -            240 43679at314147        -            100      0.03   11.5  33.9   6   6    0.0054       3.8    4.7   0.4     7    28   207   228   202   238 0.79 -
contig_18339_pilon:2-553    -            184 43679at314147        -            100     0.042   11.0  24.4   1   4    0.0028         2    5.7   1.1     7    29     9    31     5    40 0.80 -
contig_18339_pilon:2-553    -            184 43679at314147        -            100     0.042   11.0  24.4   2   4    0.0099         7    3.9   2.4     7    37    37    67    32    86 0.63 -
contig_18339_pilon:2-553    -            184 43679at314147        -            100     0.042   11.0  24.4   3   4    0.0023       1.6    5.9   2.2     7    37    93   123    88   148 0.75 -
contig_18339_pilon:2-553    -            184 43679at314147        -            100     0.042   11.0  24.4   4   4    0.0029       2.1    5.6   0.8     7    30   149   172   145   182 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/43679at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/initial_run_results/43679at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/43679at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:05:51 2023
# [ok]
