#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_53583_pilon:2130-1585 -            182 35511at314147        -            190      0.24    7.4   4.6   1   3      0.25   1.8e+02   -2.0   0.0   108   148     1    41     1    54 0.67 -
contig_53583_pilon:2130-1585 -            182 35511at314147        -            190      0.24    7.4   4.6   2   3    0.0017       1.2    5.1   0.2   106   150    55    99    27   113 0.85 -
contig_53583_pilon:2130-1585 -            182 35511at314147        -            190      0.24    7.4   4.6   3   3    0.0039       2.8    3.9   0.4   107   143   140   176   125   182 0.87 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   1  11    0.0034       2.4    4.1   0.1   107   148     2    43     1    57 0.80 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   2  11     0.013       9.3    2.2   0.0   107   149    58   100    47   111 0.82 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   3  11     0.058        41    0.1   0.3   107   141   114   148   100   166 0.73 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   4  11     0.056        39    0.2   0.6   108   139   143   174   136   189 0.61 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   5  11    0.0034       2.4    4.1   1.2   107   143   170   206   157   223 0.66 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   6  11    0.0026       1.8    4.5   0.5   107   137   198   228   188   233 0.85 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   7  11    0.0032       2.3    4.2   0.5   107   142   226   261   221   276 0.83 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   8  11     0.016        11    1.9   0.3   107   147   254   294   247   312 0.74 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5   9  11     0.028        19    1.2   0.1   107   145   282   320   274   336 0.77 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5  10  11     0.024        17    1.4   1.1   106   138   365   397   334   414 0.65 -
contig_18340_pilon:828-2186  -            453 35511at314147        -            190       0.6    6.1  35.5  11  11    0.0036       2.6    4.0   0.1   107   133   422   448   413   452 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35511at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/hmmer_output/rerun_results/35511at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35511at314147.hmm /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:47:43 2023
# [ok]
