#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_53583_pilon:2129-1584 -            182 36468at314147        -            217    0.0068   12.6   9.7   1   2    0.0013      0.45    6.7   0.7    57    97    41    81     8    95 0.54 -
contig_53583_pilon:2129-1584 -            182 36468at314147        -            217    0.0068   12.6   9.7   2   2    0.0002      0.07    9.3   6.8    57   176    41   168    35   175 0.69 -
contig_52188_pilon:2135-1716 -            140 36468at314147        -            217    0.0098   12.1   8.0   1   2      0.67   2.4e+02   -2.2   0.0   173   188    22    37    14    42 0.68 -
contig_52188_pilon:2135-1716 -            140 36468at314147        -            217    0.0098   12.1   8.0   2   2     7e-06    0.0025   14.1   3.3    58   128    44   111    38   125 0.79 -
contig_33351_pilon:20-586    -            189 36468at314147        -            217      0.21    7.8  13.5   1   3      0.03        11    2.2   0.7    87   127    15    52     6    63 0.48 -
contig_33351_pilon:20-586    -            189 36468at314147        -            217      0.21    7.8  13.5   2   3   0.00026     0.092    9.0   2.0    61   128    73   137    65   138 0.79 -
contig_33351_pilon:20-586    -            189 36468at314147        -            217      0.21    7.8  13.5   3   3    0.0018      0.63    6.2   1.0    58    99   126   167   121   189 0.77 -
contig_70752_pilon:982-1554  -            191 36468at314147        -            217      0.25    7.5  12.6   1   3    0.0058         2    4.5   3.3    61   128    32    96    21    99 0.70 -
contig_70752_pilon:982-1554  -            191 36468at314147        -            217      0.25    7.5  12.6   2   3   0.00027     0.096    8.9   2.4    58   128    85   152    79   154 0.77 -
contig_70752_pilon:982-1554  -            191 36468at314147        -            217      0.25    7.5  12.6   3   3    0.0022      0.77    5.9   1.9    58   101   113   156   105   186 0.66 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/36468at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/rerun_results/36468at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/36468at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:29:16 2023
# [ok]
