#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965028.1_RagTag:53297-54208     -            304 1604at314147         -           1250   4.2e-16   54.0   4.6   1   2     3e-08   5.4e-06   20.6   0.3   156   233    63   140    54   144 0.89 -
NW_025965028.1_RagTag:53297-54208     -            304 1604at314147         -           1250   4.2e-16   54.0   4.6   2   2   1.1e-12     2e-10   35.2   0.6    76   188   144   256   140   264 0.94 -
NW_025965287.1_RagTag:800819-799737   -            361 1604at314147         -           1250   8.1e-13   43.2   7.5   1   2   1.4e-10   2.5e-08   28.3   4.1    72   208   118   259   101   260 0.88 -
NW_025965287.1_RagTag:800819-799737   -            361 1604at314147         -           1250   8.1e-13   43.2   7.5   2   2   4.3e-09   7.6e-07   23.4   0.1    71   189   237   360   232   361 0.84 -
NW_025965287.1_RagTag:802961-802386   -            192 1604at314147         -           1250   1.6e-08   29.0   0.3   1   1   1.1e-10   1.9e-08   28.7   0.3    80   205    60   190    56   192 0.83 -
NW_025965301.1_RagTag:529721-528217   -            499 1604at314147         -           1250   2.5e-08   28.3   0.9   1   1     2e-10   3.5e-08   27.8   0.9    57   184    38   168    23   197 0.85 -
NW_025965230.1_RagTag:694060-694533   -            158 1604at314147         -           1250     2e-07   25.3   1.5   1   1   1.4e-09   2.5e-07   25.0   1.5    58   159    41   146    32   151 0.82 -
NW_025965140.1_RagTag:194226-195287   -            354 1604at314147         -           1250   3.1e-05   18.0   0.1   1   2   7.6e-07   0.00013   16.0   0.0   125   207    63   149    58   179 0.80 -
NW_025965140.1_RagTag:194226-195287   -            354 1604at314147         -           1250   3.1e-05   18.0   0.1   2   2     0.083        15   -0.7   0.0   142   218   228   309   184   323 0.58 -
NW_025965322.1_RagTag:1889052-1889456 -            135 1604at314147         -           1250    0.0024   11.8   0.1   1   1   1.5e-05    0.0026   11.7   0.1   151   235     3    98     1   110 0.73 -
NW_025965304.1_RagTag:236053-233843   -            737 1604at314147         -           1250     0.011    9.6   9.1   1   2   0.00089      0.16    5.8   0.2   156   205    44    93     6   105 0.66 -
NW_025965304.1_RagTag:236053-233843   -            737 1604at314147         -           1250     0.011    9.6   9.1   2   2   0.00059       0.1    6.4   3.7    55   210   303   466   292   486 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/1604at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/initial_run_results/1604at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/1604at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:05:41 2023
# [ok]
