#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965188.1_RagTag:427998-428411   -            138 42077at314147        -            131   5.5e-12   42.2   0.2   1   4   6.3e-05    0.0097   12.3   0.0    80   114     1    36     1    38 0.85 -
NW_025965188.1_RagTag:427998-428411   -            138 42077at314147        -            131   5.5e-12   42.2   0.2   2   4   1.5e-05    0.0024   14.3   0.0    75   106    30    61    26    70 0.90 -
NW_025965188.1_RagTag:427998-428411   -            138 42077at314147        -            131   5.5e-12   42.2   0.2   3   4   1.4e-05    0.0021   14.4   0.0    77   118    78   119    67   129 0.85 -
NW_025965188.1_RagTag:427998-428411   -            138 42077at314147        -            131   5.5e-12   42.2   0.2   4   4     0.022       3.4    4.1   0.0    77   104   111   138   108   138 0.89 -
NW_025965344.1_RagTag:40631-35279     -            181 42077at314147        -            131   5.4e-08   29.3   0.0   1   3   0.00021     0.033   10.6   0.0    67   121    28    82    12    91 0.87 -
NW_025965344.1_RagTag:40631-35279     -            181 42077at314147        -            131   5.4e-08   29.3   0.0   2   3    0.0016      0.25    7.7   0.0    66   104    91   129    82   133 0.87 -
NW_025965344.1_RagTag:40631-35279     -            181 42077at314147        -            131   5.4e-08   29.3   0.0   3   3    0.0012      0.18    8.2   0.0    78   114   133   169   126   174 0.85 -
NW_025965296.1_RagTag:679183-678884   -            100 42077at314147        -            131     3e-07   26.9   0.2   1   2   1.6e-07   2.4e-05   20.7   0.0    78   115    29    66    11    73 0.86 -
NW_025965296.1_RagTag:679183-678884   -            100 42077at314147        -            131     3e-07   26.9   0.2   2   2     0.016       2.5    4.5   0.0    61    82    78    99    70   100 0.72 -
NW_025965352.1_RagTag:102445-103867   -            274 42077at314147        -            131   2.5e-05   20.6   0.0   1   1   3.5e-07   5.4e-05   19.6   0.0    64   117     4    57     1    66 0.92 -
NW_025965276.1_RagTag:371243-371716   -            158 42077at314147        -            131   3.5e-05   20.2   0.8   1   2   0.00018     0.028   10.8   0.0    56    91     6    41     3    66 0.87 -
NW_025965276.1_RagTag:371243-371716   -            158 42077at314147        -            131   3.5e-05   20.2   0.8   2   2    0.0079       1.2    5.5   0.3    65    90    87   112    41   134 0.81 -
NW_025965287.1_RagTag:1503606-1508138 -            432 42077at314147        -            131   0.00013   18.3   0.1   1   2      0.33        51    0.2   0.0    92   113   319   340   307   357 0.79 -
NW_025965287.1_RagTag:1503606-1508138 -            432 42077at314147        -            131   0.00013   18.3   0.1   2   2     4e-06   0.00061   16.2   0.1    51   114   343   410   326   424 0.82 -
NW_025965163.1_RagTag:38535-29734     -            742 42077at314147        -            131   0.00027   17.3   0.0   1   1   3.9e-06    0.0006   16.2   0.0    65   118   474   527   465   535 0.92 -
NW_025965182.1_RagTag:1127015-1127179 -             55 42077at314147        -            131     0.008   12.6   0.0   1   1   5.3e-05    0.0082   12.5   0.0    77   118     3    44     1    53 0.89 -
NW_025965288.1_RagTag:99944-99699     -             82 42077at314147        -            131    0.0082   12.5   0.0   1   1   9.2e-05     0.014   11.8   0.0    63    95    29    61     9    80 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/42077at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/rerun_results/42077at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/42077at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:29:53 2023
# [ok]
