#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965341.1_RagTag:41694-41227   -            156 37538at314147        -            168     1e-06   25.0   0.0   1   4   0.00038     0.076    9.2   0.0    19    46    12    39     2    50 0.83 -
NW_025965341.1_RagTag:41694-41227   -            156 37538at314147        -            168     1e-06   25.0   0.0   2   4   0.00026     0.053    9.7   0.0     9    44    58    93    50    97 0.81 -
NW_025965341.1_RagTag:41694-41227   -            156 37538at314147        -            168     1e-06   25.0   0.0   3   4     0.047       9.5    2.4   0.0    21    43    98   120    91   132 0.78 -
NW_025965341.1_RagTag:41694-41227   -            156 37538at314147        -            168     1e-06   25.0   0.0   4   4      0.41        84   -0.7   0.0    11    41   116   146   112   151 0.76 -
NW_025965182.1_RagTag:216767-217576 -            270 37538at314147        -            168    0.0002   17.6   0.1   1   2    0.0009      0.18    8.0   0.1    81   161    32   107    20   109 0.80 -
NW_025965182.1_RagTag:216767-217576 -            270 37538at314147        -            168    0.0002   17.6   0.1   2   2   1.8e-05    0.0037   13.5   0.0    68   146    64   144    55   156 0.82 -
NW_025965230.1_RagTag:745188-745661 -            158 37538at314147        -            168    0.0019   14.4   5.0   1   1   1.3e-05    0.0027   13.9   4.1    39   124    37   118    31   122 0.87 -
NW_025965230.1_RagTag:919885-919364 -            174 37538at314147        -            168    0.0049   13.1   0.0   1   4     0.058        12    2.1   0.0    14    42    31    59    20    75 0.81 -
NW_025965230.1_RagTag:919885-919364 -            174 37538at314147        -            168    0.0049   13.1   0.0   2   4     0.006       1.2    5.3   0.0     9    44    82   117    75   123 0.85 -
NW_025965230.1_RagTag:919885-919364 -            174 37538at314147        -            168    0.0049   13.1   0.0   3   4      0.42        85   -0.7   0.0    22    42   123   143   114   150 0.83 -
NW_025965230.1_RagTag:919885-919364 -            174 37538at314147        -            168    0.0049   13.1   0.0   4   4      0.13        27    0.9   0.0    21    42   150   171   139   174 0.81 -
NW_025965287.1_RagTag:855233-854658 -            192 37538at314147        -            168    0.0082   12.3   0.3   1   2      0.32        66   -0.4   0.0    65   125    50   115    43   119 0.56 -
NW_025965287.1_RagTag:855233-854658 -            192 37538at314147        -            168    0.0082   12.3   0.3   2   2   0.00016     0.032   10.4   0.1    66   103   127   165   116   187 0.78 -
NW_025965436.1_RagTag:1617-781      -            279 37538at314147        -            168     0.013   11.7   0.0   1   3    0.0066       1.3    5.1   0.0    10    51    66   107    59   116 0.84 -
NW_025965436.1_RagTag:1617-781      -            279 37538at314147        -            168     0.013   11.7   0.0   2   3      0.82   1.7e+02   -1.7   0.0    18    38   158   178   145   187 0.75 -
NW_025965436.1_RagTag:1617-781      -            279 37538at314147        -            168     0.013   11.7   0.0   3   3      0.03       6.1    3.0   0.0     9    44   203   240   197   254 0.79 -
NW_025965287.1_RagTag:853042-851954 -            363 37538at314147        -            168     0.028   10.6  11.0   1   3     0.094        19    1.4   0.4    68   125   123   181    65   204 0.76 -
NW_025965287.1_RagTag:853042-851954 -            363 37538at314147        -            168     0.028   10.6  11.0   2   3   2.8e-05    0.0056   12.9   1.3    40   126   220   302   215   327 0.85 -
NW_025965287.1_RagTag:853042-851954 -            363 37538at314147        -            168     0.028   10.6  11.0   3   3      0.17        34    0.6   0.2    53    69   334   350   298   362 0.64 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/37538at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/hmmer_output/initial_run_results/37538at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/37538at314147.hmm /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:17:03 2023
# [ok]
