#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965352.1_RagTag:41208-40264     -            315 25932at314147        -            280  6.1e-109  360.3  21.3   1   1  7.7e-110    7e-109  360.1  21.3     2   279    16   305    15   306 0.95 -
NW_025965426.1_RagTag:121557-84814    -            303 25932at314147        -            280   6.8e-97  320.8  22.1   1   1   8.6e-98   7.8e-97  320.6  22.1     4   279     7   293     4   294 0.93 -
NW_025965426.1_RagTag:28179-27304     -            292 25932at314147        -            280   1.4e-93  309.9  22.2   1   1   1.7e-94   1.6e-93  309.7  22.2     6   279     2   287     1   288 0.96 -
NW_025965352.1_RagTag:4549-3728       -            274 25932at314147        -            280   4.8e-93  308.2  21.0   1   1   5.8e-94   5.3e-93  308.0  21.0    28   280     3   263     1   263 0.96 -
NW_025965426.1_RagTag:16505-69572     -            305 25932at314147        -            280   6.2e-82  271.7  27.2   1   1   8.4e-83   7.7e-82  271.4  27.2     9   279    16   295    10   296 0.93 -
NW_025965426.1_RagTag:108406-107512   -            294 25932at314147        -            280     2e-75  250.4  19.8   1   1   2.7e-76   2.4e-75  250.1  19.8     5   279     9   291     6   292 0.92 -
NW_025965426.1_RagTag:16726-111995    -            212 25932at314147        -            280   2.4e-69  230.4  11.0   1   1   3.1e-70   2.8e-69  230.2  11.0   101   279    16   200     3   201 0.94 -
NW_025965426.1_RagTag:63389-64287     -            296 25932at314147        -            280   5.9e-66  219.3  24.1   1   1   7.9e-67   7.2e-66  219.0  24.1     6   279     8   290     4   291 0.91 -
NW_025965426.1_RagTag:76722-76078     -            215 25932at314147        -            280   6.2e-59  196.3  12.8   1   1   7.6e-60     7e-59  196.1  12.8    82   279     3   206     1   207 0.95 -
NW_025965426.1_RagTag:108382-38484    -            269 25932at314147        -            280   6.4e-59  196.2  16.3   1   1   7.9e-60   7.2e-59  196.0  16.3     5   267     1   269     1   269 0.91 -
NW_025965352.1_RagTag:27049-26294     -            252 25932at314147        -            280   2.8e-51  171.2  14.6   1   1   3.4e-52   3.1e-51  171.0  14.6    46   279     1   242     1   243 0.94 -
NW_025965352.1_RagTag:14173-14790     -            206 25932at314147        -            280   1.3e-50  169.0  12.5   1   1   1.6e-51   1.5e-50  168.8  12.5     6   185    10   198     6   206 0.92 -
