#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_57778_pilon:1142-648         -            165 39437at314147        -            209   1.8e-16   56.9   8.9   1   2     2e-10   5.5e-08   29.2   4.0    48   122     8    87     4    94 0.86 -
contig_57778_pilon:1142-648         -            165 39437at314147        -            209   1.8e-16   56.9   8.9   2   2   6.4e-11   1.8e-08   30.8   0.5    46   112    95   161    86   165 0.88 -
NW_025965291.1_RagTag:434657-434169 -            163 39437at314147        -            209     1e-15   54.5   9.5   1   2   1.1e-09   3.3e-07   26.7   3.5    46   124     7    87     3    92 0.88 -
NW_025965291.1_RagTag:434657-434169 -            163 39437at314147        -            209     1e-15   54.5   9.5   2   2   3.5e-11   9.9e-09   31.7   0.5    46   112    93   159    89   163 0.90 -
NW_025965076.1_RagTag:4327-4815     -            163 39437at314147        -            209     3e-15   53.0   4.5   1   2   1.2e-09   3.3e-07   26.7   2.8    48   116     8    81     3    95 0.84 -
NW_025965076.1_RagTag:4327-4815     -            163 39437at314147        -            209     3e-15   53.0   4.5   2   2   1.3e-09   3.8e-07   26.5   0.1    46   112    95   161    88   163 0.93 -
NW_025965008.1_RagTag:49497-49051   -            149 39437at314147        -            209   3.7e-15   52.7   4.0   1   2   6.9e-07   0.00019   17.6   1.5   161   194    29    63     1    71 0.70 -
NW_025965008.1_RagTag:49497-49051   -            149 39437at314147        -            209   3.7e-15   52.7   4.0   2   2   7.6e-12   2.1e-09   33.8   0.0    46   111    76   141    71   148 0.86 -
contig_2414_pilon:35-510            -            149 39437at314147        -            209   1.1e-14   51.1   6.4   1   2   1.2e-08   3.4e-06   23.4   1.7    48   109     2    65     1    74 0.90 -
contig_2414_pilon:35-510            -            149 39437at314147        -            209   1.1e-14   51.1   6.4   2   2   8.4e-11   2.4e-08   30.4   0.4    46   112    77   143    68   148 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/39437at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/initial_run_results/39437at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/39437at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:02:33 2023
# [ok]
