#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965321.1_RagTag:4471412-4470762 -            217 3096at314147         -           1090   1.4e-27   92.0   0.0   1   1   2.9e-29   1.7e-27   91.7   0.0   571   765    10   203     4   213 0.85 -
contig_34309_pilon:705-58             -            216 3096at314147         -           1090   6.7e-27   89.7   0.0   1   1   1.4e-28     8e-27   89.5   0.0   570   767    15   205     4   215 0.88 -
NW_025965099.1_RagTag:15123-16034     -            304 3096at314147         -           1090   1.8e-25   85.0   0.0   1   1   3.9e-27   2.3e-25   84.7   0.0   571   834    35   288    19   297 0.87 -
contig_66008_pilon:1783-2643          -            287 3096at314147         -           1090   2.8e-25   84.4   0.0   1   1   6.1e-27   3.6e-25   84.0   0.0   587   833    10   245     4   258 0.84 -
NW_025965499.1_RagTag:3947-3072       -            292 3096at314147         -           1090   8.6e-25   82.8   0.0   1   1   1.8e-26     1e-24   82.5   0.0   571   831     8   258     4   266 0.82 -
NW_025965233.1_RagTag:123560-122163   -            466 3096at314147         -           1090   3.7e-24   80.7   0.0   1   1   8.3e-26   4.9e-24   80.3   0.0   570   836    14   269     5   276 0.85 -
contig_37224_pilon:1729-2460          -            244 3096at314147         -           1090     2e-23   78.3   0.0   1   1   3.8e-25   2.3e-23   78.1   0.0   571   813     7   239     3   244 0.89 -
contig_31429_pilon:336-926            -            197 3096at314147         -           1090   4.1e-19   64.0   0.0   1   1   7.9e-21   4.6e-19   63.8   0.0   586   772    11   190     1   195 0.85 -
contig_34501_pilon:2315-1608          -            236 3096at314147         -           1090     1e-17   59.4   0.0   1   1   1.9e-19   1.1e-17   59.2   0.0   638   823     3   179     1   193 0.81 -
NW_025965279.1_RagTag:87840-88469     -            210 3096at314147         -           1090   2.2e-17   58.3   0.0   1   1   3.9e-19   2.3e-17   58.2   0.0   664   767    25   124    22   205 0.88 -
NW_025965548.1_RagTag:8831-1842       -            515 3096at314147         -           1090   5.1e-13   43.8   0.0   1   1   1.4e-14   8.1e-13   43.1   0.0   610   762   282   447   267   465 0.75 -
contig_83342_pilon:1440-913           -            176 3096at314147         -           1090   7.8e-13   43.2   0.0   1   1   1.5e-14   8.8e-13   43.0   0.0   675   818    16   153     2   165 0.79 -
NW_025965401.1_RagTag:66129-68169     -            216 3096at314147         -           1090   1.3e-12   42.5   0.0   1   1   2.5e-14   1.5e-12   42.3   0.0   661   776    16   137     1   147 0.79 -
NW_025965309.1_RagTag:3531840-3529118 -            326 3096at314147         -           1090   1.9e-10   35.2   0.0   1   1   4.5e-12   2.7e-10   34.8   0.0   571   761   103   316    79   324 0.72 -
NW_025965287.1_RagTag:77543-78792     -            357 3096at314147         -           1090   2.3e-10   35.0   0.0   1   1   5.8e-12   3.4e-10   34.4   0.0   669   771    44   149    28   160 0.83 -
contig_18707_pilon:1356-1883          -            176 3096at314147         -           1090   8.7e-10   33.1   0.0   1   1   1.5e-11   8.7e-10   33.1   0.0   674   793    15   128     1   160 0.80 -
NW_025965256.1_RagTag:50807-50322     -            106 3096at314147         -           1090   2.5e-09   31.6   0.0   1   1   4.5e-11   2.7e-09   31.5   0.0   664   712    42    89    18    95 0.84 -
NW_025965313.1_RagTag:91187-92498     -            211 3096at314147         -           1090   6.5e-08   26.9   0.0   1   1   1.2e-09   7.2e-08   26.7   0.0   617   715    86   183    44   209 0.79 -
NW_025965072.1_RagTag:103895-101612   -            329 3096at314147         -           1090   5.8e-05   17.1   0.0   1   1   1.3e-06   7.8e-05   16.7   0.0   714   767   187   241   166   318 0.80 -
NW_025965301.1_RagTag:74366-72619     -            308 3096at314147         -           1090   9.3e-05   16.4   0.0   1   2   7.2e-05    0.0043   10.9   0.0   726   766   166   204   140   211 0.79 -
