#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_36320_pilon:1246-2160      -            305 2678at314147         -           1066   3.3e-05   18.1   3.5   1   5   3.6e-05    0.0072   10.3   0.1   101   148    36    82    19    93 0.85 -
contig_36320_pilon:1246-2160      -            305 2678at314147         -           1066   3.3e-05   18.1   3.5   2   5     0.026       5.2    0.9   0.0   102   148    93   138    83   153 0.81 -
contig_36320_pilon:1246-2160      -            305 2678at314147         -           1066   3.3e-05   18.1   3.5   3   5     0.019       3.8    1.3   0.0   102   148   121   166    98   180 0.82 -
contig_36320_pilon:1246-2160      -            305 2678at314147         -           1066   3.3e-05   18.1   3.5   4   5     0.015       3.1    1.6   0.0   102   148   177   222   159   234 0.80 -
contig_36320_pilon:1246-2160      -            305 2678at314147         -           1066   3.3e-05   18.1   3.5   5   5    0.0085       1.7    2.5   0.0   102   149   233   279   217   292 0.84 -
contig_52188_pilon:1196-282       -            305 2678at314147         -           1066   0.00024   15.2   4.5   1   3    0.0018      0.37    4.7   0.1   101   148    59   105    34   117 0.80 -
contig_52188_pilon:1196-282       -            305 2678at314147         -           1066   0.00024   15.2   4.5   2   3   0.00078      0.16    5.9   0.1   103   150   117   163   106   198 0.80 -
contig_52188_pilon:1196-282       -            305 2678at314147         -           1066   0.00024   15.2   4.5   3   3     0.001       0.2    5.5   0.1   101   150   227   275   200   295 0.76 -
contig_36320_pilon:558-1202       -            215 2678at314147         -           1066     0.001   13.1   0.5   1   3   0.00026     0.053    7.5   0.1   101   148    41    87    24    98 0.84 -
contig_36320_pilon:558-1202       -            215 2678at314147         -           1066     0.001   13.1   0.5   2   3     0.072        14   -0.6   0.0   107   148   103   143    88   155 0.78 -
contig_36320_pilon:558-1202       -            215 2678at314147         -           1066     0.001   13.1   0.5   3   3    0.0077       1.6    2.6   0.0   102   148   154   199   137   213 0.80 -
contig_43334_pilon:944-2038       -            365 2678at314147         -           1066    0.0011   13.0   2.3   1   4    0.0015      0.29    5.0   0.2   101   149    40    87    24   111 0.81 -
contig_43334_pilon:944-2038       -            365 2678at314147         -           1066    0.0011   13.0   2.3   2   4     0.018       3.7    1.4   0.0   104   148    99   142    87   163 0.85 -
contig_43334_pilon:944-2038       -            365 2678at314147         -           1066    0.0011   13.0   2.3   3   4      0.23        46   -2.3   0.0   105   148   156   198   139   203 0.75 -
contig_43334_pilon:944-2038       -            365 2678at314147         -           1066    0.0011   13.0   2.3   4   4    0.0024      0.49    4.2   0.1   102   149   237   283   221   310 0.84 -
contig_43715_pilon:306-1181       -            292 2678at314147         -           1066    0.0019   12.3   0.1   1   2      0.13        25   -1.4   0.0   102   149    39    85    16   104 0.75 -
contig_43715_pilon:306-1181       -            292 2678at314147         -           1066    0.0019   12.3   0.1   2   2   2.6e-05    0.0052   10.8   0.0    72   148   200   279   155   290 0.75 -
contig_59446_pilon:2-793          -            208 2678at314147         -           1066    0.0031   11.5   0.2   1   2   0.00034     0.068    7.1   0.1   104   150    27    72     8    98 0.64 -
contig_59446_pilon:2-793          -            208 2678at314147         -           1066    0.0031   11.5   0.2   2   2     0.016       3.1    1.6   0.0   104   149   111   155    94   168 0.80 -
NW_025965207.1_RagTag:15963-15268 -            232 2678at314147         -           1066    0.0082   10.1   0.2   1   3    0.0008      0.16    5.9   0.1   106   151    65   110    43   142 0.77 -
NW_025965207.1_RagTag:15963-15268 -            232 2678at314147         -           1066    0.0082   10.1   0.2   2   3     0.011       2.3    2.0   0.0   102   148   118   163   109   174 0.84 -
NW_025965207.1_RagTag:15963-15268 -            232 2678at314147         -           1066    0.0082   10.1   0.2   3   3     0.021       4.1    1.2   0.0   106   149   150   192   135   212 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/2678at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/rerun_results/2678at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/2678at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:29:17 2023
# [ok]
