#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_70752_pilon:952-1602 -            217 35511at314147        -            190    0.0029   13.6   5.3   1   3   0.00057      0.27    7.2   0.1   107   152    53    98    44   107 0.86 -
contig_70752_pilon:952-1602 -            217 35511at314147        -            190    0.0029   13.6   5.3   2   3     0.051        24    0.9   0.1   108   142   110   144   100   162 0.61 -
contig_70752_pilon:952-1602 -            217 35511at314147        -            190    0.0029   13.6   5.3   3   3   0.00088      0.41    6.6   0.2   107   150   165   208   153   214 0.87 -
contig_59446_pilon:2-793    -            208 35511at314147        -            190       0.7    5.9   9.2   1   3      0.01       4.8    3.1   0.3   107   146    46    85    17    98 0.71 -
contig_59446_pilon:2-793    -            208 35511at314147        -            190       0.7    5.9   9.2   2   3    0.0026       1.2    5.1   0.5   107   143   102   138    89   155 0.82 -
contig_59446_pilon:2-793    -            208 35511at314147        -            190       0.7    5.9   9.2   3   3     0.021       9.9    2.1   0.2   107   140   158   191   146   203 0.82 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   1  10     0.024        12    1.9   0.0   107   149     2    44     1    56 0.82 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   2  10     0.069        33    0.4   0.3   107   141    58    92    50   111 0.66 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   3  10     0.017       8.1    2.4   0.2   107   132   114   139   101   142 0.87 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   4  10    0.0072       3.4    3.6   0.0   107   132   142   167   137   170 0.90 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   5  10    0.0045       2.1    4.3   0.5   107   141   170   204   166   219 0.83 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   6  10      0.02       9.5    2.2   0.2   107   147   198   238   192   253 0.74 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   7  10     0.034        16    1.4   0.1   107   145   226   264   219   281 0.77 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   8  10      0.15        69   -0.6   0.1   107   142   254   289   240   301 0.80 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5   9  10     0.049        23    0.9   0.9   106   135   309   338   279   348 0.71 -
contig_18340_pilon:996-2162 -            389 35511at314147        -            190       2.7    4.0  30.5  10  10    0.0063         3    3.8   0.2   107   143   338   374   331   388 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35511at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/initial_run_results/35511at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35511at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:02:34 2023
# [ok]
