#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965008.1_RagTag:49421-49086   -            112 35062at314147        -            330     1e-06   24.5   2.4   1   2     0.011       3.2    3.1   1.7    85   129     2    47     1    54 0.58 -
NW_025965008.1_RagTag:49421-49086   -            112 35062at314147        -            330     1e-06   24.5   2.4   2   2     2e-08   5.5e-06   22.1   0.1    50   107    49   107    39   112 0.84 -
contig_57778_pilon:1141-647         -            165 35062at314147        -            330   3.6e-05   19.4   3.5   1   2   0.00085      0.24    6.8   2.4    52   126    16    93     7    98 0.68 -
contig_57778_pilon:1141-647         -            165 35062at314147        -            330   3.6e-05   19.4   3.5   2   2   1.5e-05    0.0043   12.5   0.0    50   115    98   164    85   165 0.87 -
NW_025965291.1_RagTag:433679-433191 -            163 35062at314147        -            330   3.8e-05   19.3   6.3   1   2   7.4e-05     0.021   10.3   3.3    53   134    15    95     7   100 0.70 -
NW_025965291.1_RagTag:433679-433191 -            163 35062at314147        -            330   3.8e-05   19.3   6.3   2   2   2.8e-05    0.0078   11.7   0.1    50   115    96   162    89   163 0.87 -
contig_2414_pilon:97-509            -            128 35062at314147        -            330   9.2e-05   18.0   0.6   1   1   4.4e-07   0.00013   17.6   0.6    23   116    31   126    16   128 0.82 -
contig_2414_pilon:312-500           -             63 35062at314147        -            330    0.0033   12.9   0.0   1   1   1.2e-05    0.0033   12.9   0.0    55   112     2    60     1    63 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35062at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/hmmer_output/rerun_results/35062at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35062at314147.hmm /home/bgerda/guppy_SUP/busco_results_flye/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:47:48 2023
# [ok]
