#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_70752_pilon:982-1554 -            191 35511at314147        -            190    0.0096   11.9   4.8   1   3   0.00038      0.18    7.8   0.1   107   152    43    88    23    97 0.86 -
contig_70752_pilon:982-1554 -            191 35511at314147        -            190    0.0096   11.9   4.8   2   3      0.04        19    1.2   0.1   108   143   100   135    88   152 0.62 -
contig_70752_pilon:982-1554 -            191 35511at314147        -            190    0.0096   11.9   4.8   3   3    0.0058       2.7    4.0   0.1   107   135   155   183   145   191 0.83 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   1  12    0.0051       2.4    4.1   0.1   107   148     2    43     1    57 0.80 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   2  12      0.02       9.5    2.2   0.0   107   149    58   100    46   110 0.82 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   3  12     0.098        46   -0.1   0.3   107   141   114   148   107   166 0.71 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   4  12       0.1        48   -0.1   0.7   108   139   143   174   134   187 0.66 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   5  12     0.016       7.7    2.5   1.1   107   137   170   200   157   205 0.84 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   6  12    0.0052       2.5    4.1   0.4   107   137   198   228   195   233 0.87 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   7  12    0.0041       1.9    4.4   0.5   107   142   226   261   219   278 0.82 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   8  12     0.027        12    1.8   0.2   107   147   254   294   249   308 0.74 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2   9  12     0.043        20    1.1   0.1   107   145   282   320   275   336 0.77 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2  10  12     0.037        17    1.3   0.7   107   139   366   398   335   413 0.71 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2  11  12    0.0088       4.1    3.3   0.3   107   143   394   430   387   443 0.77 -
contig_18340_pilon:828-2186 -            453 35511at314147        -            190      0.68    5.9  35.2  12  12    0.0055       2.6    4.0   0.1   107   133   422   448   413   452 0.85 -
contig_59446_pilon:2-793    -            208 35511at314147        -            190       0.7    5.9   9.2   1   3      0.01       4.8    3.1   0.3   107   146    46    85    17    98 0.71 -
contig_59446_pilon:2-793    -            208 35511at314147        -            190       0.7    5.9   9.2   2   3    0.0026       1.2    5.1   0.5   107   143   102   138    89   155 0.82 -
contig_59446_pilon:2-793    -            208 35511at314147        -            190       0.7    5.9   9.2   3   3     0.021       9.9    2.1   0.2   107   140   158   191   146   203 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35511at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/rerun_results/35511at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/35511at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:29:10 2023
# [ok]
