#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965054.1_RagTag:37688-37278  -            137 12444at314147        -            764    0.0013   13.8   0.3   1   2      0.76   1.5e+02   -2.9   0.4   267   295    26    53    18    57 0.52 -
NW_025965054.1_RagTag:37688-37278  -            137 12444at314147        -            764    0.0013   13.8   0.3   2   2   6.5e-06    0.0013   13.8   0.3   282   306    83   107    76   119 0.91 -
NW_025965442.1_RagTag:53274-52825  -            150 12444at314147        -            764    0.0074   11.4   0.4   1   4     0.072        14    0.5   0.5   284   296    49    61    34    75 0.85 -
NW_025965442.1_RagTag:53274-52825  -            150 12444at314147        -            764    0.0074   11.4   0.4   2   4   3.7e-05    0.0074   11.4   0.4   284   306    77    99    75   103 0.92 -
NW_025965442.1_RagTag:53274-52825  -            150 12444at314147        -            764    0.0074   11.4   0.4   3   4      0.25        51   -1.3   0.5   284   296   105   117   102   133 0.81 -
NW_025965442.1_RagTag:53274-52825  -            150 12444at314147        -            764    0.0074   11.4   0.4   4   4      0.46        93   -2.2   0.1   286   295   135   144   132   145 0.90 -
NW_025965250.1_RagTag:54757-54140  -            206 12444at314147        -            764      0.33    5.9  22.6   1   6      0.57   1.2e+02   -2.5   0.0   284   306    10    32     9    37 0.78 -
NW_025965250.1_RagTag:54757-54140  -            206 12444at314147        -            764      0.33    5.9  22.6   2   6   0.00055      0.11    7.5   0.8   284   325    38    76    35    93 0.74 -
NW_025965250.1_RagTag:54757-54140  -            206 12444at314147        -            764      0.33    5.9  22.6   3   6    0.0024      0.49    5.3   2.6   284   321    94   131    92   139 0.79 -
NW_025965250.1_RagTag:54757-54140  -            206 12444at314147        -            764      0.33    5.9  22.6   4   6    0.0079       1.6    3.6   0.4   284   306   122   144   120   149 0.90 -
NW_025965250.1_RagTag:54757-54140  -            206 12444at314147        -            764      0.33    5.9  22.6   5   6     0.054        11    0.9   0.2   284   308   150   174   147   179 0.88 -
NW_025965250.1_RagTag:54757-54140  -            206 12444at314147        -            764      0.33    5.9  22.6   6   6     0.022       4.5    2.1   0.0   284   306   178   200   176   205 0.87 -
NW_025965341.1_RagTag:91734-92261  -            176 12444at314147        -            764       1.2    4.0  15.8   1   4     0.028       5.6    1.8   0.0   291   309     2    20     1    24 0.89 -
NW_025965341.1_RagTag:91734-92261  -            176 12444at314147        -            764       1.2    4.0  15.8   2   4       0.2        40   -1.0   0.3   284   308    23    47    21    50 0.81 -
NW_025965341.1_RagTag:91734-92261  -            176 12444at314147        -            764       1.2    4.0  15.8   3   4    0.0003      0.06    8.3   0.8   284   310    51    77    49    97 0.86 -
NW_025965341.1_RagTag:91734-92261  -            176 12444at314147        -            764       1.2    4.0  15.8   4   4     0.027       5.5    1.9   1.6   282   307   133   158   118   169 0.85 -
NW_025965279.1_RagTag:80306-79764  -            181 12444at314147        -            764       1.8    3.4  12.7   1   2     0.029       5.9    1.8   1.6   284   310    13    39    11    60 0.76 -
NW_025965279.1_RagTag:80306-79764  -            181 12444at314147        -            764       1.8    3.4  12.7   2   2     0.003      0.61    5.0   3.8   284   310   119   145   117   164 0.87 -
NW_025965279.1_RagTag:111843-48065 -            321 12444at314147        -            764         3    2.7  14.8   1   3   0.00023     0.047    8.7   0.3   284   309   149   174   147   178 0.90 -
NW_025965279.1_RagTag:111843-48065 -            321 12444at314147        -            764         3    2.7  14.8   2   3     0.026       5.3    1.9   0.4   284   296   177   189   175   196 0.90 -
NW_025965279.1_RagTag:111843-48065 -            321 12444at314147        -            764         3    2.7  14.8   3   3      0.16        33   -0.7   3.0   284   311   284   311   282   317 0.91 -
NW_025965341.1_RagTag:79016-79627  -            204 12444at314147        -            764       3.6    2.5  14.3   1   4   0.00033     0.067    8.2   1.8   286   318    39    71    36    75 0.86 -
NW_025965341.1_RagTag:79016-79627  -            204 12444at314147        -            764       3.6    2.5  14.3   2   4     0.035         7    1.5   0.5   286   307    67    88    65   101 0.88 -
NW_025965341.1_RagTag:79016-79627  -            204 12444at314147        -            764       3.6    2.5  14.3   3   4      0.17        35   -0.8   0.8   282   310   119   147   104   176 0.80 -
NW_025965341.1_RagTag:79016-79627  -            204 12444at314147        -            764       3.6    2.5  14.3   4   4     0.073        15    0.4   0.1   284   307   177   200   175   204 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/12444at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/hmmer_output/rerun_results/12444at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/12444at314147.hmm /home/bgerda/guppy_SUP/busco_results/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 15:29:13 2023
# [ok]
