#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965192.1_RagTag:233-38367   -            290 28822at314147        -            253   2.6e-49  163.9   0.0   1   1   1.1e-48   1.5e-46  154.9   0.0    40   253    36   284    16   284 0.82 -
contig_24890_pilon:2291-1574      -            179 28822at314147        -            253   7.2e-38  126.4   0.1   1   1   5.6e-40   7.8e-38  126.3   0.1    21   190     4   176     1   179 0.92 -
NW_025965192.1_RagTag:37779-36191 -            262 28822at314147        -            253   6.1e-35  116.8   0.1   1   2   3.1e-32   4.4e-30  100.9   0.0    21   221     3   201     1   209 0.86 -
NW_025965192.1_RagTag:37779-36191 -            262 28822at314147        -            253   6.1e-35  116.8   0.1   2   2     1e-05    0.0014   14.1   0.0   221   253   222   258   212   258 0.81 -
NW_025965054.1_RagTag:53276-40908 -            274 28822at314147        -            253   5.6e-26   87.5   0.0   1   2   1.5e-23   2.1e-21   72.5   0.0    18   221    21   217    11   220 0.84 -
NW_025965054.1_RagTag:53276-40908 -            274 28822at314147        -            253   5.6e-26   87.5   0.0   2   2   4.8e-05    0.0067   11.9   0.0   221   253   238   274   229   274 0.80 -
contig_60519_pilon:1109-2219      -            175 28822at314147        -            253   7.6e-25   83.8   0.0   1   1   3.6e-24     5e-22   74.5   0.0   102   249     2   175     1   175 0.84 -
NW_025965192.1_RagTag:40965-42809 -            167 28822at314147        -            253   1.2e-23   79.8   0.0   1   1   1.1e-25   1.5e-23   79.5   0.0   102   221     1   122     1   128 0.90 -
NW_025965171.1_RagTag:26868-25713 -            204 28822at314147        -            253   9.5e-23   76.9   0.0   1   2   5.3e-24   7.4e-22   74.0   0.0   102   222    48   171    38   182 0.90 -
NW_025965171.1_RagTag:26868-25713 -            204 28822at314147        -            253   9.5e-23   76.9   0.0   2   2       0.1        14    1.0   0.0   220   234   190   204   171   204 0.83 -
NW_025965054.1_RagTag:38469-39240 -            154 28822at314147        -            253   8.9e-15   50.8   0.1   1   2     0.014       1.9    3.8   0.0    20    63     3    46     1    63 0.86 -
NW_025965054.1_RagTag:38469-39240 -            154 28822at314147        -            253   8.9e-15   50.8   0.1   2   2   2.4e-15   3.3e-13   45.7   0.0   103   191    64   153    50   154 0.88 -
contig_46995_pilon:1525-1271      -             85 28822at314147        -            253   2.1e-05   20.1   0.1   1   2     0.061       8.5    1.7   0.0   208   221     2    15     1    36 0.88 -
contig_46995_pilon:1525-1271      -             85 28822at314147        -            253   2.1e-05   20.1   0.1   2   2   1.3e-06   0.00018   17.0   0.0   220   253    35    72    27    72 0.81 -
contig_60542_pilon:1409-0         -            470 28822at314147        -            253    0.0063   12.0   0.0   1   1   7.7e-05     0.011   11.2   0.0   152   213   302   362   266   371 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/28822at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/rerun_results/28822at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/28822at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/rerun_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:29:52 2023
# [ok]
