#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NW_025965200.1_RagTag:16831-17695  -            219 37552at314147        -            179   4.2e-05   19.8   0.3   1   2   0.00064       0.3    7.2   0.1    94   161    89   152    66   165 0.68 -
NW_025965200.1_RagTag:16831-17695  -            219 37552at314147        -            179   4.2e-05   19.8   0.3   2   2   5.4e-05     0.025   10.8   0.0   105   130   186   211   174   219 0.83 -
NW_025965250.1_RagTag:140650-46794 -            212 37552at314147        -            179   0.00034   16.9  23.3   1   6   0.00014     0.064    9.5   0.6   106   161    15    64    11    71 0.74 -
NW_025965250.1_RagTag:140650-46794 -            212 37552at314147        -            179   0.00034   16.9  23.3   2   6    0.0037       1.7    4.8   0.8   120   161    46    92    41    99 0.64 -
NW_025965250.1_RagTag:140650-46794 -            212 37552at314147        -            179   0.00034   16.9  23.3   3   6    0.0089       4.2    3.5   1.7   140   161    98   120    71   125 0.61 -
NW_025965250.1_RagTag:140650-46794 -            212 37552at314147        -            179   0.00034   16.9  23.3   4   6     5e-05     0.024   10.9   1.8   131   162   114   149    98   155 0.72 -
NW_025965250.1_RagTag:140650-46794 -            212 37552at314147        -            179   0.00034   16.9  23.3   5   6     0.021       9.7    2.3   0.5   141   161   155   176   149   182 0.73 -
NW_025965250.1_RagTag:140650-46794 -            212 37552at314147        -            179   0.00034   16.9  23.3   6   6     0.016       7.6    2.7   0.1   106   127   183   204   177   212 0.61 -
NW_025965442.1_RagTag:49839-49393  -            149 37552at314147        -            179     0.001   15.3   4.5   1   3    0.0056       2.7    4.2   1.9   127   161     7    42     3    47 0.73 -
NW_025965442.1_RagTag:49839-49393  -            149 37552at314147        -            179     0.001   15.3   4.5   2   3   2.1e-06     0.001   15.3   4.5   107   162    49    98    43   103 0.80 -
NW_025965442.1_RagTag:49839-49393  -            149 37552at314147        -            179     0.001   15.3   4.5   3   3    0.0018      0.87    5.8   4.0   135   162    98   126    97   146 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/37552at314147.hmm
# Target file:     /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/hmmer_output/initial_run_results/37552at314147.out --cpu 1 /home/bgerda/guppy_SUP/busco_downloads/lineages/glires_odb10/hmms/37552at314147.hmm /home/bgerda/guppy_SUP/busco_results_racon/run_glires_odb10/metaeuk_output/initial_results/ragtag.scaffold.fasta.modified.fas 
# Current dir:     /home/bgerda/guppy_SUP
# Date:            Sun May 21 17:05:48 2023
# [ok]
